group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
IO,"to_string(low-prec, 31, scientific)",f256,"to_string(low-prec, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,254.875,673.025,2.64061,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.64061,yes,exact,320,100,-,0,0,2466.12,9.67582
IO,"to_string(low-prec, 63, default)",f256,"to_string(low-prec, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,487.9,578.2,1.18508,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.18508,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 63, fixed)",f256,"to_string(low-prec, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,813.425,1033.72,1.27083,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.27083,yes,219.281,297.157,100,-,exact,0,16343.7,20.0924
IO,"to_string(low-prec, 63, hexfloat)",f256,"to_string(low-prec, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,194.625,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(low-prec, 63, scientific)",f256,"to_string(low-prec, 63, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,307.125,677.8,2.20692,boost::multiprecision::mpfr_float_backend<64>,0,0,0,2.20692,yes,exact,320,100,-,0,0,4214.55,13.7226
IO,"to_string(small-exp, 15, default)",f256,"to_string(small-exp, 15, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,487.325,591.35,1.21346,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.21346,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 15, fixed)",f256,"to_string(small-exp, 15, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,588.1,953.625,1.62154,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.62154,yes,exact,320,100,-,0,0,9815.5,16.6902
IO,"to_string(small-exp, 15, hexfloat)",f256,"to_string(small-exp, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,363.775,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(small-exp, 15, scientific)",f256,"to_string(small-exp, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,490.2,591.575,1.2068,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.2068,yes,exact,320,100,-,0,0,2130.47,4.34613
IO,"to_string(small-exp, 31, default)",f256,"to_string(small-exp, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,525.8,659.25,1.2538,boost::multiprecision::mpfr_float_backend<64>,0,0,0,1.2538,no,-,-,-,-,-,-,-,-
